Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,4700,35,34,48,55,85,1,1037,0.021%,15.53272,185.74,18.39
WS2 Open Connection,4699,4,1,13,31,47,0,132,0.085%,15.53368,3.59,18.03
Portfolio,26904,4,2,5,32,46,0,357,0.004%,88.91944,1271.52,96.18
Quotes,53727,4,1,4,31,45,0,1070,0.006%,177.57294,1411.51,194.32
Home,24822,4,2,5,32,46,0,1074,0.004%,82.04671,703.12,88.35
Logout,6045,5,2,7,32,46,1,123,0.000%,19.98631,97.52,21.56
Account,18533,4,2,4,32,46,0,370,0.005%,61.26004,973.46,66.15
WS2 existing,10449,1,1,2,3,5,0,250,0.105%,.00001,0.00,0.00
Buy,3308,8,5,13,34,52,3,184,0.000%,10.93695,89.36,12.07
Update Profile,2717,5,3,7,32,48,1,204,0.000%,8.98330,142.11,10.76
Sell,3021,9,6,20,36,54,3,188,0.033%,9.98892,81.62,10.91
Register Page,1349,32,32,45,51,80,0,272,0.000%,4.46294,29.20,4.79
Register,1349,5,4,7,14,43,2,168,0.000%,4.46336,38.32,5.73
WelcomePing JSF,543,32,31,46,53,78,1,156,0.000%,1.79744,5.07,2.08
Login JSF,543,8,6,16,33,44,3,61,0.000%,1.79757,11.74,2.35
QuotesPing JSF,5834,8,3,32,38,51,1,523,0.000%,19.30516,103.81,20.72
Quotes JSF,6233,8,3,32,38,52,2,214,0.000%,20.62541,104.67,30.19
Home JSF,2950,8,3,32,38,53,1,144,0.000%,9.76155,52.30,10.51
Account JSF,2129,8,3,31,37,53,1,209,0.000%,7.04617,66.71,7.58
WS1 open close,1187,8,3,32,38,50,1,108,0.000%,3.92836,5.34,0.10
Portfolio JSF,2747,8,4,32,38,51,1,189,0.000%,9.09130,84.62,9.79
QuotePing JSF,399,7,3,32,37,49,1,71,0.000%,1.32368,6.78,1.42
Buy JSF,399,15,9,39,44,59,5,119,0.000%,1.32369,8.10,1.76
PortfolioPing JSF,393,8,4,30,35,46,2,149,0.000%,1.30495,11.77,1.41
HomePing JSF,704,8,3,32,39,55,1,208,0.000%,2.33286,12.37,2.51
Logout JSF,704,10,5,33,40,55,3,139,0.000%,2.33315,6.78,3.14
RegisterPing,161,36,34,47,56,95,1,177,0.000%,.53457,2.82,0.58
Register JSF,161,9,6,12,36,47,4,75,0.000%,.53461,2.88,0.82
Update Profile JSF,305,9,5,29,40,49,3,58,0.000%,1.01411,9.61,1.58
TOTAL,187015,6,2,28,35,49,0,1074,0.012%,.00012,0.00,0.00
